,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
34,1,8.01,0.05,0.89173,-0.402,3.712,4.583,10.5,0.031,0.0,16.275,15.674,14.955,14.511,14.448,16.307,16.936,16.23,16.037,15.952,16.752,0.892
35,1,8.01,0.07,2.21303,1.405,3.981,4.248,11.8,0.036,0.0,13.058,13.212,13.197,13.23,13.222,13.334,13.124,13.353,13.566,13.737,13.159,2.213
36,1,8.05,-0.19,0.04003,-3.47,3.339,4.813,5.0,0.005,0.0,18.446,19.129,16.299,15.664,15.281,21.341,25.532,23.156,20.619,18.775,24.864,0.04
37,1,8.05,0.13,1.05194,-0.068,3.753,4.486,11.4,0.035,0.0,16.339,15.76,15.181,14.85,14.804,16.31,16.771,16.238,16.113,16.082,16.574,1.052
38,1,8.05,0.31,0.18602,-2.278,3.522,5.019,10.4,0.03,0.0,20.865,20.546,19.0,18.47,18.233,21.841,23.699,22.231,21.091,20.423,23.489,0.186
39,1,8.07,0.17,1.53383,0.714,3.848,4.246,11.3,0.034,0.0,14.285,13.894,13.589,13.459,13.435,14.255,14.38,14.211,14.235,14.312,14.28,1.534
40,1,8.07,0.23,1.90147,1.112,3.918,4.225,11.4,0.035,0.0,13.39,13.231,13.107,13.091,13.073,13.443,13.356,13.433,13.578,13.719,13.331,1.901
41,1,8.11,0.13,2.65449,1.726,4.021,4.167,10.9,0.033,0.0,11.355,11.73,11.771,11.821,11.824,11.818,11.564,11.845,12.085,12.27,11.628,2.654
42,1,8.13,-0.19,0.30373,-1.859,3.572,5.014,11.1,0.034,0.0,20.518,20.045,18.776,18.212,18.024,21.116,22.607,21.229,20.498,20.059,22.517,0.304
43,1,8.13,-0.01,0.09759,-2.652,3.475,4.925,9.5,0.025,0.0,20.899,20.735,18.924,18.41,18.143,22.247,24.564,22.965,21.415,20.517,24.301,0.098
44,1,8.17,-0.19,0.48178,-1.397,3.603,4.875,10.7,0.032,0.0,18.963,18.441,17.317,16.685,16.549,19.383,20.652,19.386,18.859,18.54,20.642,0.482
45,1,8.17,-0.13,1.95211,1.24,3.966,4.3,9.6,0.025,0.0,11.27,11.35,11.313,11.337,11.326,11.488,11.298,11.501,11.702,11.868,11.318,1.952
46,1,8.17,-0.03,0.2454,-2.062,3.552,5.044,9.8,0.027,0.0,19.726,19.319,17.938,17.383,17.159,20.481,22.109,20.703,19.801,19.272,21.931,0.245
47,1,8.17,0.01,0.60768,-1.118,3.622,4.773,12.9,0.038,0.0,20.466,19.949,18.876,18.2,18.084,20.834,22.0,20.803,20.354,20.086,22.01,0.608
48,1,8.19,0.03,0.57996,-1.191,3.614,4.794,10.9,0.033,0.0,18.647,18.134,17.027,16.359,16.238,19.051,20.263,19.042,18.547,18.25,20.267,0.58
49,1,8.19,0.25,0.17837,-2.298,3.516,4.997,10.6,0.031,0.0,21.116,20.817,19.238,18.711,18.47,22.139,24.049,22.567,21.378,20.681,23.831,0.178
50,1,8.21,0.15,0.37002,-1.728,3.566,4.946,12.1,0.037,0.0,21.191,20.766,19.413,18.842,18.649,21.903,23.442,22.104,21.241,20.732,23.312,0.37
