,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
0,1,7.53,0.25,0.05252,-2.673,3.437,4.527,8.4,0.036,0.0,19.852,19.867,17.786,17.284,16.985,21.596,24.32,22.685,20.74,19.58,23.96,0.053
1,1,8.15,0.05,2.88559,1.897,4.048,4.138,7.0,0.029,0.0,7.027,7.555,7.628,7.685,7.696,7.628,7.356,7.658,7.91,8.105,7.432,2.886
2,1,8.35,-0.27,0.24011,-2.042,3.565,5.065,7.5,0.032,0.0,17.374,16.917,15.627,15.067,14.864,18.003,19.548,18.129,17.372,16.923,19.431,0.24
3,1,8.65,0.01,0.46693,-1.469,3.589,4.878,7.6,0.033,0.0,16.042,15.557,14.33,13.719,13.567,16.586,17.967,16.673,16.001,15.595,17.923,0.467
4,1,8.67,0.37,0.13376,-2.557,3.483,5.001,7.2,0.03,0.0,18.363,18.174,16.409,15.894,15.632,19.647,21.875,20.3,18.828,17.971,21.62,0.134
5,1,8.75,0.07,0.17525,-2.352,3.518,5.051,8.5,0.036,0.0,19.151,18.848,17.279,16.751,16.511,20.162,22.062,20.576,19.403,18.716,21.85,0.175
6,1,8.77,-0.13,0.10879,-2.76,3.478,5.093,7.6,0.033,0.0,19.27,19.095,17.313,16.781,16.524,20.582,22.915,21.27,19.747,18.887,22.68,0.109
7,1,8.79,0.15,0.35181,-1.776,3.563,4.96,12.2,0.038,0.0,21.411,20.992,19.632,19.063,18.863,22.135,23.693,22.342,21.469,20.955,23.552,0.352
8,1,8.85,-0.07,0.14696,-2.516,3.501,5.072,9.2,0.037,0.0,20.26,20.008,18.358,17.83,17.581,21.388,23.449,21.89,20.597,19.846,23.227,0.147
9,1,8.87,-0.11,1.01395,-0.067,3.76,4.498,8.9,0.037,0.0,13.838,13.287,12.725,12.401,12.358,13.822,14.239,13.757,13.639,13.613,14.05,1.014
10,1,8.93,0.23,0.18,-2.378,3.515,5.076,8.5,0.036,0.0,19.215,18.921,17.336,16.808,16.567,20.248,22.179,20.68,19.483,18.783,21.965,0.18
11,1,9.01,-0.21,0.18705,-2.292,3.541,5.11,6.4,0.026,0.0,16.899,16.513,15.1,14.549,14.318,17.696,19.421,17.936,17.001,16.457,19.241,0.187
12,1,9.01,-0.07,0.23712,-2.085,3.552,5.053,9.0,0.037,0.0,18.982,18.578,17.201,16.645,16.42,19.735,21.365,19.947,19.057,18.534,21.19,0.237
13,1,9.01,0.07,0.31371,-1.869,3.56,4.988,10.6,0.038,0.0,20.043,19.627,18.265,17.701,17.492,20.773,22.351,20.979,20.105,19.588,22.2,0.314
14,1,9.03,0.49,0.46693,-1.481,3.583,4.865,8.8,0.037,0.0,17.272,16.863,15.495,14.872,14.718,18.0,19.451,18.231,17.34,16.83,19.34,0.467
15,1,9.05,0.25,0.13574,-2.728,3.478,5.156,9.5,0.037,0.0,21.091,20.924,19.125,18.601,18.341,22.427,24.752,23.133,21.594,20.708,24.507,0.136
16,1,9.05,0.33,0.15388,-2.576,3.493,5.119,9.8,0.038,0.0,21.009,20.788,19.081,18.558,18.305,22.215,24.365,22.795,21.409,20.604,24.132,0.154
17,1,9.07,-0.19,0.14023,-2.645,3.498,5.169,8.1,0.035,0.0,19.482,19.232,17.582,17.039,16.794,20.611,22.734,21.117,19.814,19.073,22.531,0.14
18,1,9.09,0.09,0.33213,-1.821,3.562,4.976,9.6,0.038,0.0,18.924,18.503,17.147,16.581,16.378,19.643,21.206,19.844,18.979,18.468,21.064,0.332
19,1,9.09,0.17,0.66386,-0.99,3.631,4.722,7.2,0.03,0.0,14.446,13.918,12.872,12.203,12.095,14.778,15.892,14.74,14.318,14.069,15.897,0.664
20,1,9.11,0.23,1.0851,0.031,3.761,4.432,7.9,0.034,0.0,12.593,12.015,11.463,11.154,11.11,12.552,12.991,12.479,12.366,12.346,12.798,1.085
21,1,9.13,-0.13,0.31228,-1.845,3.57,5.004,8.9,0.037,0.0,18.281,17.821,16.532,15.967,15.776,18.907,20.413,19.04,18.279,17.823,20.313,0.312
22,1,9.15,-0.21,0.19272,-2.252,3.546,5.103,6.9,0.029,0.0,17.3,16.902,15.515,14.961,14.73,18.065,19.751,18.28,17.382,16.858,19.573,0.193
23,1,9.15,0.15,0.27462,-1.991,3.548,5.008,8.6,0.036,0.0,18.348,17.961,16.554,16.0,15.77,19.145,20.8,19.392,18.452,17.9,20.608,0.275
24,1,9.15,0.29,0.10879,-2.968,3.455,5.207,7.6,0.033,0.0,19.789,19.712,17.759,17.232,16.965,21.339,23.97,22.286,20.479,19.452,23.692,0.109
25,1,9.17,-0.17,0.16646,-2.444,3.52,5.13,7.1,0.03,0.0,17.98,17.657,16.128,15.586,15.348,18.936,20.832,19.297,18.189,17.547,20.639,0.166
26,1,9.17,0.13,0.56659,-1.23,3.607,4.796,9.2,0.037,0.0,17.044,16.551,15.395,14.726,14.601,17.506,18.765,17.53,16.975,16.638,18.754,0.567
27,1,9.17,0.29,0.11158,-2.938,3.458,5.201,8.8,0.037,0.0,20.915,20.827,18.895,18.368,18.101,22.438,25.027,23.35,21.581,20.573,24.753,0.112
28,1,9.19,-0.03,0.63644,-1.026,3.633,4.744,9.8,0.038,0.0,17.134,16.604,15.578,14.911,14.803,17.45,18.542,17.402,17.001,16.766,18.548,0.636
29,1,9.19,-0.01,0.08849,-3.303,3.415,5.296,6.9,0.029,0.0,19.929,20.068,17.811,17.263,16.989,21.916,25.158,23.333,21.062,19.746,24.779,0.088
30,1,9.21,-0.15,0.33033,-1.794,3.574,4.995,9.0,0.037,0.0,18.256,17.782,16.514,15.948,15.765,18.851,20.329,18.965,18.235,17.795,20.247,0.33
31,1,9.23,-0.17,0.1731,-2.397,3.526,5.123,10.3,0.038,0.0,21.062,20.725,19.226,18.682,18.446,21.979,23.822,22.303,21.244,20.628,23.632,0.173
32,1,9.23,-0.13,0.15254,-2.547,3.506,5.139,9.1,0.037,0.0,20.238,19.967,18.352,17.815,17.571,21.317,23.349,21.778,20.536,19.821,23.143,0.153
33,1,9.23,0.31,0.14696,-2.631,3.487,5.13,7.8,0.033,0.0,19.147,18.944,17.203,16.681,16.425,20.4,22.615,21.029,19.584,18.749,22.378,0.147
34,1,9.25,-0.09,0.34519,-1.766,3.573,4.982,9.9,0.038,0.0,19.085,18.62,17.335,16.768,16.585,19.702,21.188,19.833,19.077,18.623,21.1,0.345
35,1,9.25,-0.03,0.36406,-1.724,3.573,4.961,10.2,0.038,0.0,19.28,18.822,17.522,16.954,16.771,19.917,21.409,20.065,19.284,18.815,21.317,0.364
36,1,9.27,-0.15,0.26216,-1.984,3.562,5.036,7.4,0.032,0.0,17.131,16.689,15.37,14.809,14.604,17.799,19.358,17.957,17.153,16.676,19.228,0.262
37,1,9.27,0.09,0.68586,-0.915,3.64,4.697,7.5,0.032,0.0,14.558,14.017,13.015,12.361,12.259,14.842,15.89,14.787,14.409,14.191,15.89,0.686
38,1,9.27,0.21,0.60834,-1.132,3.614,4.758,9.9,0.038,0.0,17.5,17.005,15.87,15.192,15.072,17.939,19.158,17.949,17.423,17.106,19.151,0.608
39,1,9.31,-0.27,0.13751,-2.66,3.5,5.18,9.5,0.037,0.0,20.919,20.664,19.029,18.479,18.235,22.028,24.148,22.509,21.232,20.512,23.955,0.138
40,1,9.31,-0.23,0.62548,-0.997,3.642,4.744,10.1,0.038,0.0,17.362,16.819,15.836,15.191,15.087,17.631,18.644,17.573,17.21,17.001,18.628,0.625
41,1,9.31,-0.01,0.65183,-0.987,3.636,4.729,10.0,0.038,0.0,17.238,16.704,15.689,15.026,14.921,17.54,18.612,17.488,17.1,16.873,18.617,0.652
42,1,9.31,0.13,0.84087,-0.512,3.692,4.59,10.0,0.038,0.0,16.05,15.452,14.66,14.16,14.087,16.132,16.87,16.052,15.82,15.706,16.725,0.841
43,1,9.33,-0.11,0.47905,-1.412,3.598,4.869,9.3,0.037,0.0,17.599,17.092,15.935,15.303,15.163,18.061,19.368,18.085,17.518,17.173,19.352,0.479
44,1,9.33,0.07,0.31916,-1.85,3.561,4.981,9.3,0.037,0.0,18.694,18.276,16.917,16.353,16.146,19.419,20.99,19.621,18.753,18.239,20.843,0.319
45,1,9.35,-0.39,0.08272,-3.52,3.385,5.363,6.2,0.024,0.0,19.77,20.124,17.622,17.03,16.755,22.118,25.843,23.807,21.317,19.776,25.374,0.083
46,1,9.35,-0.13,0.4063,-1.588,3.585,4.921,6.3,0.025,0.0,15.039,14.543,13.322,12.734,12.571,15.571,16.973,15.653,14.985,14.584,16.92,0.406
47,1,9.35,-0.05,0.22316,-2.138,3.548,5.063,7.6,0.033,0.0,17.715,17.321,15.923,15.371,15.141,18.496,20.156,18.731,17.808,17.266,19.969,0.223
48,1,9.35,0.13,0.09456,-3.178,3.43,5.259,8.2,0.035,0.0,20.916,20.967,18.828,18.291,18.019,22.735,25.737,23.976,21.869,20.665,25.402,0.095
