,#Gc,logAge,[M/H],m_ini,logL,logTe,logg,m-M0,Av,m2/m1,mbol,TESS,J,H,Ks,Kepler,g,r,i,z,DDO51_finf,Mact
49,1,9.35,0.37,0.65723,-1.004,3.628,4.718,10.1,0.038,0.0,17.38,16.867,15.784,15.11,14.998,17.755,18.906,17.733,17.273,16.998,18.907,0.657
50,1,9.37,-0.15,0.24907,-2.023,3.56,5.043,9.4,0.037,0.0,19.228,18.797,17.465,16.905,16.694,19.917,21.495,20.084,19.264,18.778,21.354,0.249
51,1,9.39,-0.39,0.21963,-2.092,3.567,5.088,10.3,0.038,0.0,20.301,19.83,18.57,18.011,17.811,20.892,22.422,20.986,20.277,19.854,22.319,0.22
52,1,9.39,-0.17,0.27379,-1.945,3.566,5.029,8.5,0.036,0.0,18.131,17.681,16.379,15.816,15.617,18.778,20.315,18.919,18.141,17.678,20.198,0.274
53,1,9.39,-0.15,0.12233,-2.807,3.482,5.207,8.8,0.037,0.0,20.589,20.4,18.643,18.102,17.852,21.869,24.192,22.531,21.036,20.2,23.974,0.122
54,1,9.39,0.03,0.8612,-0.428,3.707,4.576,9.5,0.037,0.0,15.339,14.743,14.005,13.547,13.481,15.387,16.036,15.31,15.107,15.015,15.856,0.861
55,1,9.41,-0.23,0.55975,-1.17,3.624,4.797,8.7,0.036,0.0,16.396,15.867,14.82,14.159,14.039,16.736,17.872,16.696,16.268,16.015,17.867,0.56
56,1,9.41,-0.11,0.12407,-2.796,3.482,5.2,8.8,0.037,0.0,20.561,20.374,18.611,18.075,17.822,21.848,24.165,22.516,21.017,20.172,23.941,0.124
57,1,9.41,-0.05,0.40564,-1.603,3.581,4.918,8.0,0.034,0.0,16.777,16.301,15.039,14.457,14.288,17.364,18.805,17.481,16.754,16.317,18.737,0.406
58,1,9.41,0.13,0.28707,-1.947,3.552,4.997,9.2,0.037,0.0,18.837,18.442,17.049,16.491,16.266,19.613,21.243,19.846,18.928,18.388,21.06,0.287
59,1,9.41,0.17,0.24085,-2.1,3.54,5.027,9.7,0.038,0.0,19.72,19.354,17.905,17.358,17.127,20.571,22.287,20.859,19.86,19.274,22.091,0.241
60,1,9.43,-0.29,0.18926,-2.262,3.547,5.111,10.4,0.038,0.0,20.825,20.424,19.052,18.495,18.264,21.574,23.255,21.765,20.897,20.391,23.08,0.189
61,1,9.43,-0.09,0.18785,-2.303,3.535,5.1,8.2,0.035,0.0,18.728,18.369,16.906,16.362,16.129,19.596,21.364,19.892,18.879,18.286,21.173,0.188
62,1,9.43,-0.05,0.57314,-1.18,3.617,4.789,7.8,0.033,0.0,15.52,15.001,13.915,13.248,13.127,15.902,17.093,15.881,15.411,15.128,17.097,0.573
63,1,9.45,-0.31,0.45614,-1.43,3.604,4.889,10.2,0.038,0.0,18.544,18.017,16.911,16.288,16.148,18.947,20.204,18.941,18.431,18.125,20.19,0.456
64,1,9.45,-0.07,0.10356,-3.015,3.458,5.244,6.8,0.028,0.0,19.107,19.013,17.088,16.553,16.295,20.618,23.252,21.546,19.756,18.761,22.991,0.104
65,1,9.47,-0.33,0.20275,-2.167,3.56,5.097,6.4,0.026,0.0,16.587,16.137,14.836,14.279,14.066,17.231,18.813,17.364,16.593,16.139,18.68,0.203
66,1,9.47,-0.31,0.10491,-2.976,3.47,5.259,7.6,0.033,0.0,19.809,19.658,17.839,17.282,17.043,21.178,23.727,21.97,20.314,19.439,23.519,0.105
67,1,9.47,-0.29,0.20096,-2.18,3.557,5.096,10.4,0.038,0.0,20.621,20.19,18.866,18.307,18.09,21.301,22.906,21.451,20.651,20.179,22.759,0.201
68,1,9.47,-0.03,0.14465,-2.624,3.495,5.149,8.7,0.036,0.0,20.029,19.798,18.109,17.582,17.331,21.211,23.346,21.769,20.408,19.621,23.122,0.145
69,1,9.47,0.05,0.30283,-1.886,3.559,4.987,10.4,0.038,0.0,19.886,19.472,18.107,17.545,17.334,20.62,22.204,20.827,19.95,19.432,22.05,0.303
70,1,9.47,0.41,0.13583,-2.727,3.478,5.156,9.3,0.037,0.0,20.887,20.719,18.921,18.398,18.137,22.221,24.544,22.926,21.388,20.504,24.299,0.136
71,1,9.49,-0.29,0.44685,-1.456,3.601,4.895,10.7,0.038,0.0,19.11,18.585,17.466,16.846,16.704,19.526,20.803,19.526,19.002,18.686,20.788,0.447
72,1,9.49,-0.07,0.34687,-1.762,3.573,4.977,9.5,0.037,0.0,18.674,18.213,16.921,16.353,16.169,19.301,20.793,19.439,18.672,18.211,20.701,0.347
73,1,9.49,0.03,0.16548,-2.476,3.51,5.118,8.6,0.036,0.0,19.559,19.28,17.67,17.143,16.9,20.628,22.608,21.088,19.853,19.132,22.393,0.165
74,1,9.49,0.09,1.29244,0.541,3.787,4.103,8.9,0.037,0.0,12.317,11.796,11.318,11.065,11.029,12.277,12.6,12.215,12.143,12.151,12.434,1.292
75,1,9.49,0.15,0.74683,-0.753,3.658,4.643,7.5,0.032,0.0,14.153,13.584,12.657,12.049,11.958,14.356,15.297,14.284,13.967,13.791,15.261,0.747
76,1,9.51,-0.23,0.1308,-2.723,3.492,5.194,9.3,0.037,0.0,20.878,20.65,18.966,18.419,18.173,22.056,24.264,22.612,21.244,20.479,24.062,0.131
77,1,9.51,-0.23,0.24518,-2.022,3.564,5.051,10.6,0.038,0.0,20.425,19.977,18.675,18.114,17.91,21.073,22.626,21.21,20.436,19.976,22.503,0.245
78,1,9.51,-0.15,0.4576,-1.453,3.596,4.881,8.4,0.036,0.0,16.801,16.293,15.13,14.509,14.364,17.269,18.591,17.3,16.721,16.37,18.568,0.458
79,1,9.51,-0.03,0.43796,-1.523,3.586,4.892,10.0,0.038,0.0,18.578,18.099,16.858,16.26,16.1,19.141,20.548,19.239,18.546,18.128,20.494,0.438
80,1,9.51,0.19,0.51035,-1.369,3.592,4.831,10.6,0.038,0.0,18.793,18.331,17.08,16.442,16.299,19.37,20.735,19.477,18.778,18.361,20.685,0.51
81,1,9.51,0.33,0.21799,-2.186,3.534,5.046,9.6,0.038,0.0,19.835,19.485,18.005,17.464,17.231,20.727,22.491,21.047,20.003,19.391,22.292,0.218
82,1,9.53,-0.33,0.40514,-1.551,3.596,4.926,9.9,0.038,0.0,18.547,18.025,16.887,16.284,16.133,18.985,20.301,18.999,18.446,18.114,20.275,0.405
83,1,9.53,-0.09,0.10882,-2.939,3.467,5.229,6.8,0.028,0.0,18.918,18.783,16.925,16.391,16.135,20.333,22.836,21.151,19.481,18.55,22.594,0.109
84,1,9.53,-0.01,0.31961,-1.841,3.565,4.988,10.3,0.038,0.0,19.672,19.239,17.904,17.339,17.14,20.362,21.906,20.541,19.709,19.214,21.779,0.32
85,1,9.53,0.19,0.11074,-2.944,3.458,5.203,8.8,0.037,0.0,20.93,20.844,18.909,18.382,18.115,22.455,25.049,23.371,21.598,20.589,24.775,0.111
86,1,9.55,-0.29,1.68552,-3.38,3.884,8.122,5.9,0.022,0.0,19.119,18.877,18.649,18.561,18.548,19.179,19.212,19.15,19.213,19.325,19.143,0.662
87,1,9.55,-0.25,0.21114,-2.147,3.557,5.084,10.3,0.038,0.0,20.438,20.009,18.68,18.121,17.904,21.126,22.728,21.283,20.473,19.995,22.58,0.211
88,1,9.55,-0.19,0.16718,-2.434,3.522,5.129,9.6,0.038,0.0,20.456,20.131,18.612,18.067,17.83,21.401,23.284,21.746,20.657,20.026,23.093,0.167
89,1,9.55,-0.15,0.28519,-1.911,3.567,5.017,10.7,0.038,0.0,20.248,19.797,18.495,17.932,17.734,20.893,22.423,21.035,20.257,19.793,22.31,0.285
90,1,9.55,-0.07,0.66202,-0.929,3.644,4.708,8.9,0.037,0.0,15.991,15.448,14.465,13.816,13.716,16.258,17.272,16.197,15.838,15.632,17.265,0.662
91,1,9.55,0.07,0.32488,-1.828,3.562,4.972,10.7,0.038,0.0,20.04,19.619,18.264,17.699,17.495,20.76,22.324,20.96,20.096,19.584,22.182,0.325
92,1,9.55,0.11,0.24414,-2.076,3.544,5.025,8.9,0.037,0.0,18.861,18.484,17.056,16.506,16.275,19.684,21.371,19.951,18.983,18.414,21.177,0.244
93,1,9.55,0.13,0.59435,-1.151,3.614,4.767,10.2,0.038,0.0,17.848,17.347,16.224,15.549,15.428,18.273,19.489,18.275,17.763,17.455,19.487,0.594
94,1,9.55,0.15,0.437,-1.546,3.579,4.886,6.7,0.028,0.0,15.336,14.885,13.568,12.981,12.814,15.99,17.454,16.167,15.352,14.872,17.363,0.437
95,1,9.55,0.17,0.23014,-2.137,3.538,5.036,10.3,0.038,0.0,20.413,20.052,18.592,18.048,17.816,21.278,23.012,21.578,20.563,19.968,22.815,0.23
96,1,9.57,-0.27,0.25753,-1.973,3.569,5.043,9.4,0.037,0.0,19.103,18.637,17.363,16.802,16.606,19.71,21.229,19.822,19.089,18.651,21.126,0.258
97,1,9.57,-0.25,0.76066,-0.584,3.696,4.633,9.5,0.037,0.0,15.729,15.144,14.365,13.869,13.798,15.811,16.492,15.739,15.512,15.401,16.324,0.761
98,1,9.57,-0.21,0.69776,-0.782,3.665,4.671,13.9,0.038,0.0,20.626,20.061,19.165,18.573,18.486,20.805,21.666,20.735,20.44,20.278,21.593,0.698
99,1,9.57,-0.19,1.29621,0.811,3.776,3.791,8.8,0.037,0.0,11.542,11.022,10.507,10.223,10.184,11.522,11.862,11.463,11.372,11.363,11.689,1.296
100,1,9.57,-0.09,0.3221,-1.82,3.57,4.991,10.3,0.038,0.0,19.62,19.165,17.866,17.3,17.109,20.26,21.77,20.403,19.626,19.161,21.667,0.322
101,1,9.57,-0.05,1.0122,0.022,3.766,4.43,10.5,0.038,0.0,15.216,14.67,14.124,13.813,13.772,15.194,15.594,15.129,15.02,15.001,15.408,1.012
102,1,9.57,0.07,0.84608,-0.457,3.701,4.572,10.4,0.038,0.0,16.313,15.713,14.953,14.478,14.409,16.372,17.056,16.294,16.08,15.978,16.885,0.846
103,1,9.57,0.09,0.13543,-2.718,3.482,5.163,9.2,0.037,0.0,20.765,20.581,18.81,18.286,18.028,22.061,24.337,22.73,21.236,20.375,24.097,0.135
104,1,9.57,0.11,0.79068,-0.619,3.676,4.605,7.7,0.033,0.0,14.017,13.427,12.574,12.021,11.94,14.147,14.972,14.069,13.802,13.662,14.878,0.791
105,1,9.57,0.15,0.86004,-0.439,3.701,4.561,9.8,0.038,0.0,15.668,15.064,14.305,13.834,13.764,15.724,16.417,15.643,15.43,15.33,16.247,0.86
106,1,9.59,-0.49,0.36095,-1.628,3.602,4.978,9.3,0.037,0.0,18.14,17.597,16.508,15.914,15.764,18.522,19.786,18.508,18.008,17.711,19.766,0.361
107,1,9.59,-0.27,0.18681,-2.281,3.544,5.111,10.1,0.038,0.0,20.572,20.182,18.79,18.234,18.002,21.348,23.054,21.559,20.662,20.138,22.877,0.187
108,1,9.59,-0.21,0.56141,-1.165,3.623,4.792,10.7,0.038,0.0,18.382,17.855,16.805,16.143,16.023,18.726,19.866,18.687,18.257,18.002,19.863,0.561
109,1,9.59,-0.11,0.20341,-2.199,3.547,5.081,9.7,0.038,0.0,19.968,19.576,18.181,17.627,17.397,20.748,22.419,20.975,20.061,19.525,22.235,0.203
110,1,9.59,-0.07,0.14117,-2.649,3.494,5.159,8.5,0.036,0.0,19.893,19.664,17.973,17.442,17.192,21.078,23.233,21.64,20.273,19.487,23.013,0.141
111,1,9.59,-0.01,0.54676,-1.253,3.608,4.807,9.0,0.037,0.0,16.902,16.394,15.267,14.606,14.48,17.33,18.578,17.332,16.812,16.497,18.577,0.547
112,1,9.59,0.13,0.85052,-0.457,3.699,4.566,9.4,0.037,0.0,15.313,14.71,13.943,13.465,13.395,15.375,16.076,15.295,15.077,14.974,15.91,0.851
113,1,9.59,0.19,0.34696,-1.784,3.561,4.953,9.9,0.038,0.0,19.131,18.719,17.348,16.781,16.576,19.871,21.444,20.087,19.199,18.676,21.293,0.347
114,1,9.61,-0.29,0.73313,-0.645,3.688,4.646,8.0,0.034,0.0,14.382,13.8,12.993,12.471,12.396,14.484,15.204,14.414,14.171,14.047,15.057,0.733
115,1,9.61,-0.25,0.21121,-2.146,3.557,5.083,5.7,0.021,0.0,15.834,15.395,14.072,13.515,13.299,16.508,18.104,16.665,15.858,15.383,17.958,0.211
116,1,9.61,-0.23,1.25363,0.768,3.794,3.892,12.2,0.038,0.0,15.051,14.57,14.105,13.857,13.824,15.035,15.311,14.982,14.917,14.928,15.163,1.254
117,1,9.61,-0.15,0.83297,-0.409,3.718,4.584,7.9,0.034,0.0,13.692,13.103,12.403,11.971,11.91,13.721,14.309,13.65,13.464,13.384,14.112,0.833
118,1,9.61,-0.15,0.3209,-1.812,3.573,4.994,11.2,0.038,0.0,20.5,20.031,18.756,18.19,18.004,21.105,22.592,21.224,20.485,20.04,22.504,0.321
119,1,9.61,-0.11,0.83168,-0.428,3.713,4.585,8.4,0.036,0.0,14.24,13.649,12.933,12.489,12.426,14.278,14.888,14.205,14.012,13.926,14.697,0.832
120,1,9.61,-0.07,0.6994,-0.823,3.655,4.671,14.3,0.038,0.0,21.126,20.571,19.632,19.008,18.915,21.346,22.286,21.277,20.955,20.774,22.255,0.699
121,1,9.61,0.01,0.90635,-0.271,3.73,4.534,10.3,0.038,0.0,15.748,15.159,14.502,14.107,14.052,15.754,16.299,15.681,15.518,15.456,16.096,0.906
122,1,9.63,-0.63,0.46681,-1.323,3.629,4.892,9.0,0.037,0.0,17.077,16.53,15.527,14.904,14.777,17.373,18.447,17.326,16.924,16.693,18.404,0.467
123,1,9.63,-0.39,0.28739,-1.859,3.582,5.028,11.3,0.038,0.0,20.716,20.211,19.017,18.448,18.271,21.22,22.643,21.268,20.644,20.269,22.583,0.287
124,1,9.63,-0.33,0.8055,-0.407,3.726,4.599,10.8,0.038,0.0,16.587,16.01,15.335,14.923,14.866,16.612,17.153,16.545,16.37,16.298,16.947,0.806
125,1,9.63,-0.31,0.18105,-2.316,3.541,5.12,9.6,0.038,0.0,20.16,19.777,18.374,17.818,17.585,20.95,22.684,21.17,20.259,19.729,22.508,0.181
126,1,9.63,-0.29,0.29747,-1.848,3.577,5.014,11.6,0.038,0.0,20.99,20.499,19.269,18.703,18.522,21.538,22.995,21.616,20.942,20.536,22.923,0.297
127,1,9.63,-0.11,0.25366,-2.011,3.559,5.034,10.6,0.038,0.0,20.397,19.974,18.629,18.069,17.856,21.104,22.691,21.284,20.444,19.947,22.543,0.254
128,1,9.63,-0.05,0.11699,-2.864,3.473,5.21,7.4,0.032,0.0,19.331,19.175,17.354,16.824,16.566,20.697,23.1,21.446,19.854,18.953,22.861,0.117
129,1,9.63,-0.03,0.23494,-2.093,3.55,5.047,8.9,0.037,0.0,18.901,18.508,17.114,16.559,16.329,19.68,21.327,19.911,18.993,18.454,21.14,0.235
130,1,9.65,-0.23,0.75123,-0.608,3.691,4.633,10.0,0.038,0.0,16.289,15.706,14.91,14.399,14.326,16.383,17.091,16.311,16.076,15.957,16.936,0.751
131,1,9.65,-0.03,0.1454,-2.616,3.496,5.146,9.8,0.038,0.0,21.111,20.878,19.193,18.666,18.415,22.288,24.414,22.84,21.486,20.702,24.191,0.145
132,1,9.65,0.15,0.18386,-2.359,3.52,5.086,5.8,0.022,0.0,16.466,16.147,14.595,14.067,13.829,17.449,19.33,17.849,16.696,16.022,19.124,0.184
133,1,9.67,-0.33,0.42531,-1.497,3.6,4.908,10.7,0.038,0.0,19.212,18.684,17.565,16.952,16.807,19.628,20.913,19.628,19.102,18.785,20.896,0.425
134,1,9.67,-0.15,0.29364,-1.883,3.568,5.008,11.8,0.038,0.0,21.277,20.821,19.527,18.963,18.768,21.912,23.43,22.047,21.28,20.821,23.323,0.294
135,1,9.69,-0.47,0.18408,-2.262,3.554,5.126,10.3,0.038,0.0,20.725,20.294,18.98,18.42,18.195,21.394,23.03,21.521,20.747,20.294,22.878,0.184
136,1,9.69,-0.31,0.41039,-1.537,3.596,4.918,9.4,0.037,0.0,18.012,17.492,16.351,15.746,15.595,18.454,19.77,18.469,17.914,17.58,19.744,0.41
137,1,9.69,-0.31,0.26003,-1.956,3.572,5.041,11.7,0.038,0.0,21.359,20.882,19.628,19.067,18.875,21.94,23.438,22.033,21.329,20.907,23.348,0.26
138,1,9.69,-0.29,0.30582,-1.824,3.579,5.008,10.0,0.038,0.0,19.33,18.837,17.613,17.045,16.866,19.87,21.315,19.942,19.278,18.877,21.247,0.306
139,1,9.69,-0.19,0.43912,-1.488,3.595,4.893,12.4,0.038,0.0,20.889,20.381,19.216,18.603,18.454,21.36,22.691,21.392,20.809,20.456,22.663,0.439
140,1,9.69,-0.15,0.63841,-0.961,3.643,4.72,7.6,0.033,0.0,14.773,14.228,13.246,12.598,12.496,15.038,16.051,14.979,14.618,14.411,16.04,0.638
141,1,9.69,-0.15,0.62548,-0.998,3.638,4.732,12.9,0.038,0.0,20.165,19.627,18.628,17.974,17.868,20.452,21.495,20.397,20.02,19.802,21.487,0.625
142,1,9.69,-0.11,0.50101,-1.347,3.603,4.844,10.0,0.038,0.0,18.138,17.627,16.492,15.848,15.715,18.574,19.847,18.581,18.047,17.722,19.838,0.501
143,1,9.69,-0.07,0.24612,-2.042,3.555,5.036,9.0,0.037,0.0,18.875,18.465,17.098,16.54,16.32,19.614,21.228,19.818,18.942,18.426,21.061,0.246
144,1,9.69,0.21,0.30092,-1.908,3.552,4.978,9.4,0.037,0.0,18.941,18.547,17.152,16.594,16.369,19.72,21.351,19.955,19.034,18.492,21.167,0.301
145,1,9.69,0.21,0.84089,-0.484,3.693,4.564,12.0,0.038,0.0,17.98,17.378,16.588,16.094,16.02,18.06,18.804,17.978,17.747,17.634,18.659,0.841
146,1,9.71,-0.53,0.33712,-1.67,3.602,4.991,9.1,0.037,0.0,18.044,17.499,16.414,15.824,15.672,18.421,19.681,18.405,17.909,17.615,19.659,0.337
147,1,9.71,-0.45,0.19653,-2.172,3.565,5.108,9.3,0.037,0.0,19.5,19.034,17.77,17.211,17.006,20.098,21.649,20.19,19.479,19.058,21.537,0.197
148,1,9.71,-0.43,0.26562,-1.909,3.581,5.042,9.2,0.037,0.0,18.742,18.234,17.044,16.478,16.299,19.24,20.665,19.283,18.666,18.295,20.605,0.266
149,1,9.71,-0.31,0.18001,-2.323,3.54,5.12,6.5,0.026,0.0,17.077,16.688,15.284,14.73,14.497,17.863,19.6,18.087,17.171,16.64,19.425,0.18
150,1,9.71,-0.29,0.25922,-1.961,3.57,5.04,11.2,0.038,0.0,20.873,20.401,19.137,18.576,18.383,21.466,22.973,21.568,20.85,20.42,22.877,0.259
151,1,9.73,-0.37,0.15088,-2.528,3.515,5.152,9.0,0.037,0.0,20.091,19.78,18.247,17.689,17.45,21.058,23.022,21.411,20.304,19.675,22.842,0.151
