,logg,Teff,Z,aLSM,bLSM
35,5.0,6500,-5.0,0.25627465686776524,0.32464802464242026
36,3.5,6750,-5.0,0.28044434402810664,0.30141877179429355
37,4.0,6750,-5.0,0.2740843623491512,0.3087060404096354
38,4.5,6750,-5.0,0.2669266322454553,0.31470335915552455
39,5.0,6750,-5.0,0.2579098499427762,0.3201046116444589
40,3.5,7000,-5.0,0.26499706701349124,0.3060111878562656
41,4.0,7000,-5.0,0.26395870962686657,0.3088624171311436
42,4.5,7000,-5.0,0.2609157529532647,0.3121847793219788
43,5.0,7000,-5.0,0.2547401600963223,0.31619060841001506
44,3.5,7250,-5.0,0.25476500312283623,0.3102274544554209
45,4.0,7250,-5.0,0.25486748105850654,0.3107843850232588
46,4.5,7250,-5.0,0.25404299806810415,0.31253570698268224
47,5.0,7250,-5.0,0.25099787982222405,0.3148064573931993
48,3.5,7500,-5.0,0.2792353780252271,0.2644295043742936
49,4.0,7500,-5.0,0.24054627093963016,0.3145676175882031
50,4.5,7500,-5.0,0.24083969731004162,0.31524925827419226
51,5.0,7500,-5.0,0.24081687524721837,0.3157207166257327
52,3.5,7750,-5.0,0.3072812797283751,0.25270682106875875
53,4.0,7750,-5.0,0.23098648692956578,0.30845787019711585
54,4.5,7750,-5.0,0.23129756733020168,0.31771560920036895
55,5.0,7750,-5.0,0.23220585606625663,0.31762748751792946
56,3.5,8000,-5.0,0.3180979561890311,0.25814900811447067
57,4.0,8000,-5.0,0.2695453605749043,0.2774560763461892
58,4.5,8000,-5.0,0.21468283375030314,0.31663407864930077
59,5.0,8000,-5.0,0.2169017224505039,0.32176285449708303
60,3.5,8250,-5.0,0.32172768038513777,0.24782100496600823
61,4.0,8250,-5.0,0.2843936398399851,0.2741500344656541
62,4.5,8250,-5.0,0.222684855166548,0.30455346259185534
63,5.0,8250,-5.0,0.2076037254855516,0.3234738877087456
64,3.5,8500,-5.0,0.2965967654664612,0.2555007123534745
65,4.0,8500,-5.0,0.29781789735963443,0.2553763813836998
66,4.5,8500,-5.0,0.2528410300999523,0.290434119535638
67,5.0,8500,-5.0,0.1968503635200564,0.3152894935902772
68,3.5,8750,-5.0,0.278310028781312,0.26239395188773773
69,4.0,8750,-5.0,0.2869668497621766,0.25432415681640874
70,4.5,8750,-5.0,0.2697937875410945,0.2725281847650711
71,5.0,8750,-5.0,0.21547538922284204,0.31119697622629955
72,3.5,9000,-5.0,0.25641179690921106,0.2680344586481798
73,4.0,9000,-5.0,0.26386547109561076,0.2615832187388141
74,4.5,9000,-5.0,0.2705933831863062,0.2558704731060129
75,5.0,9000,-5.0,0.24291433746297178,0.2839313898196176
76,3.5,9250,-5.0,0.25641179690921106,0.2680344586481798
77,4.0,9250,-5.0,0.26386547109561076,0.2615832187388141
78,4.5,9250,-5.0,0.2705933831863062,0.2558704731060129
79,5.0,9250,-5.0,0.24291433746297178,0.2839313898196176
80,3.5,9500,-5.0,0.25641179690921106,0.2680344586481798
81,4.0,9500,-5.0,0.26386547109561076,0.2615832187388141
82,4.5,9500,-5.0,0.2705933831863062,0.2558704731060129
83,5.0,9500,-5.0,0.24291433746297178,0.2839313898196176
84,3.5,9750,-5.0,0.25641179690921106,0.2680344586481798
85,4.0,9750,-5.0,0.26386547109561076,0.2615832187388141
86,4.5,9750,-5.0,0.2705933831863062,0.2558704731060129
87,5.0,9750,-5.0,0.24291433746297178,0.2839313898196176
88,3.5,10000,-5.0,0.25641179690921106,0.2680344586481798
89,4.0,10000,-5.0,0.26386547109561076,0.2615832187388141
90,4.5,10000,-5.0,0.2705933831863062,0.2558704731060129
91,5.0,10000,-5.0,0.24291433746297178,0.2839313898196176
92,3.5,3750,-4.5,0.18277673533492206,0.4091830247162071
93,3.5,4000,-4.5,0.09210131367021002,0.3880947234823906
94,4.0,4000,-4.5,0.0780178109837216,0.39553507135553356
95,3.5,4250,-4.5,0.12390752580133253,0.3617245286859566
96,4.0,4250,-4.5,0.08907905965951693,0.3559306221732418
97,4.5,4250,-4.5,0.07613356414086792,0.35417263282294703
98,3.5,4500,-4.5,0.23206050208564097,0.33603308419993444
99,4.0,4500,-4.5,0.15745819535947306,0.3457061911787739
100,4.5,4500,-4.5,0.111915862275145,0.34130281391259926
101,5.0,4500,-4.5,0.08679140772677019,0.3301521476358955
102,3.5,4750,-4.5,0.3007937124836403,0.3264133336009526
103,4.0,4750,-4.5,0.21663188727608532,0.34572155729774795
104,4.5,4750,-4.5,0.15703441428864964,0.3455655739360321
105,5.0,4750,-4.5,0.11537332701886921,0.3391721566023809
106,3.5,5000,-4.5,0.26723612786026774,0.33296734742033784
107,4.0,5000,-4.5,0.24740848908088614,0.3300763904533777
108,4.5,5000,-4.5,0.21165175702577416,0.333523268867168
109,5.0,5000,-4.5,0.1739358646825844,0.3525770250259541
110,3.5,5250,-4.5,0.2749984197250372,0.33178815102384346
111,4.0,5250,-4.5,0.2548194689693213,0.33616963680687256
112,4.5,5250,-4.5,0.2346305077804369,0.3329822853481412
113,5.0,5250,-4.5,0.20737237308964085,0.3621859304947985
114,3.5,5500,-4.5,0.2854849237377522,0.3233401659184784
115,4.0,5500,-4.5,0.26665323052324064,0.33373840415691886
116,4.5,5500,-4.5,0.24681599690856132,0.33840060151674495
117,5.0,5500,-4.5,0.22483580316541013,0.3392191826044359
118,3.5,5750,-4.5,0.291731998313218,0.3161345580180179
119,4.0,5750,-4.5,0.2735411594262535,0.328482972396861
120,4.5,5750,-4.5,0.25541591350882625,0.33518315495004475
121,5.0,5750,-4.5,0.2341706365402076,0.3400307347034272
122,3.5,6000,-4.5,0.293420261819387,0.30857464596858336
123,4.0,6000,-4.5,0.2783145975179671,0.32111055307911907
124,4.5,6000,-4.5,0.26403981239895175,0.3290301402911642
125,5.0,6000,-4.5,0.24530566989752833,0.33653279765422855
126,3.5,6250,-4.5,0.29310149945045016,0.3038249455926119
127,4.0,6250,-4.5,0.28053212258355775,0.31535720418216456
128,4.5,6250,-4.5,0.26899150472033123,0.323348108421471
129,5.0,6250,-4.5,0.25148459612206314,0.33160814954807455
130,3.5,6500,-4.5,0.2877463430303875,0.30050888498735145
131,4.0,6500,-4.5,0.27834960971046824,0.31011542370193973
132,4.5,6500,-4.5,0.26893644857876386,0.3173994792601139
133,5.0,6500,-4.5,0.2564743852474109,0.3242853552041228
134,3.5,6750,-4.5,0.28053153600196284,0.30111576249343264
135,4.0,6750,-4.5,0.2742150174596594,0.30836701083342655
136,4.5,6750,-4.5,0.2671324780550553,0.3143452372706133
137,5.0,6750,-4.5,0.25778828628867834,0.3198329131985934
138,3.5,7000,-4.5,0.26506187232587036,0.3057895478364912
139,4.0,7000,-4.5,0.26408251015594725,0.3085760030089704
140,4.5,7000,-4.5,0.26095422990921585,0.3119910270645057
141,5.0,7000,-4.5,0.25483585777364126,0.3158963578106707
142,3.5,7250,-4.5,0.2547599703565768,0.31014020222277505
143,4.0,7250,-4.5,0.25473122451620933,0.3107906747148026
144,4.5,7250,-4.5,0.2541071564925,0.31232043641792084
145,5.0,7250,-4.5,0.2507032469321834,0.31472349182044823
146,3.5,7500,-4.5,0.27776211110985305,0.2668448154017649
147,4.0,7500,-4.5,0.24053873333834663,0.31444893155812825
148,4.5,7500,-4.5,0.240826179313771,0.3150836200209884
149,5.0,7500,-4.5,0.24085328885919915,0.31553664527166586
150,3.5,7750,-4.5,0.3075119019794884,0.25232345140463674
151,4.0,7750,-4.5,0.23102775448249566,0.3083473034765396
152,4.5,7750,-4.5,0.2312805842765976,0.31762801773011706
153,5.0,7750,-4.5,0.2320578035811161,0.3175721352587549
154,3.5,8000,-4.5,0.31808514484020706,0.25806757629913735
155,4.0,8000,-4.5,0.26960652443224475,0.2773892276234788
156,4.5,8000,-4.5,0.21462038051335205,0.31658375154417523
