,logg,Teff,Z,aLSM,bLSM
112,4.5,5250,-4.5,0.12926117622379152,0.2840610299685278
113,5.0,5250,-4.5,0.11868917171613125,0.2962203178869356
114,3.5,5500,-4.5,0.15906904263794497,0.28743207981044916
115,4.0,5500,-4.5,0.149116461932012,0.29146803901440127
116,4.5,5500,-4.5,0.13785497216328593,0.2913746117182306
117,5.0,5500,-4.5,0.12565471001083098,0.2872138189368242
118,3.5,5750,-4.5,0.16483794367475493,0.2810755154073299
119,4.0,5750,-4.5,0.1555101599187157,0.2864342785856987
120,4.5,5750,-4.5,0.14506015716067225,0.28865179601991175
121,5.0,5750,-4.5,0.13265584170725572,0.28890884057397825
122,3.5,6000,-4.5,0.16675611789403488,0.274733921709156
123,4.0,6000,-4.5,0.1601338180650436,0.279816754930838
124,4.5,6000,-4.5,0.1528496475105671,0.28282202786117566
125,5.0,6000,-4.5,0.141724487096475,0.2861706968117213
126,3.5,6250,-4.5,0.1661662571369183,0.2713702534959707
127,4.0,6250,-4.5,0.1617094803804318,0.2753477501935133
128,4.5,6250,-4.5,0.1572435874154181,0.27753407679766245
129,5.0,6250,-4.5,0.14684529925930648,0.28182447020650003
130,3.5,6500,-4.5,0.1611656045945779,0.2692747699607477
131,4.0,6500,-4.5,0.15904719360645872,0.27182891317581964
132,4.5,6500,-4.5,0.1565156575796635,0.27324824023127536
133,5.0,6500,-4.5,0.15076724494498656,0.275585061608444
134,3.5,6750,-4.5,0.1549674344837044,0.2698603622443921
135,4.0,6750,-4.5,0.15472589206919063,0.27102579276478106
136,4.5,6750,-4.5,0.1540785817162451,0.2713828159629908
137,5.0,6750,-4.5,0.1513087552714465,0.27206012714755023
138,3.5,7000,-4.5,0.1423861816670502,0.27272041252328016
139,4.0,7000,-4.5,0.14492710779971146,0.2717025299453446
140,4.5,7000,-4.5,0.14715308117119424,0.27035118719921863
141,5.0,7000,-4.5,0.14728514213843083,0.2695812677188117
142,3.5,7250,-4.5,0.1345251538600156,0.2744903927440838
143,4.0,7250,-4.5,0.13687632310898748,0.2728381324208366
144,4.5,7250,-4.5,0.14035645042555406,0.2707731349063404
145,5.0,7250,-4.5,0.14252789732341758,0.2690077235299466
146,3.5,7500,-4.5,0.13556528969921375,0.25243141106544004
147,4.0,7500,-4.5,0.1251802648452469,0.2734609003821063
148,4.5,7500,-4.5,0.12836485579156742,0.2718807301499521
149,5.0,7500,-4.5,0.13259730190488475,0.2694464589646599
150,3.5,7750,-4.5,0.15797309674381246,0.23601241345044577
151,4.0,7750,-4.5,0.1134713420249157,0.27082910967836943
152,4.5,7750,-4.5,0.12041966699654885,0.27210046974912006
153,5.0,7750,-4.5,0.1248292777867678,0.2699225457721015
154,3.5,8000,-4.5,0.17369933394924073,0.2262937025322959
155,4.0,8000,-4.5,0.13440181304759385,0.24694341497350336
156,4.5,8000,-4.5,0.1060771763004705,0.2692530156889173
157,5.0,8000,-4.5,0.11298394101509432,0.2695791689526978
158,3.5,8250,-4.5,0.1745940004003609,0.21649642844143605
159,4.0,8250,-4.5,0.15139399951201873,0.23323290041895867
160,4.5,8250,-4.5,0.10759719293842025,0.26005528111699333
161,5.0,8250,-4.5,0.106529680108813,0.26739486326857803
162,3.5,8500,-4.5,0.1580648948252963,0.2182445441782824
163,4.0,8500,-4.5,0.16238138127921614,0.21114145683966445
164,4.5,8500,-4.5,0.135747109434334,0.23470342273960126
165,5.0,8500,-4.5,0.09612532182710092,0.25912907970578813
166,3.5,8750,-4.5,0.14902214373604686,0.21870637083811897
167,4.0,8750,-4.5,0.15344248086354084,0.20951176673069757
168,4.5,8750,-4.5,0.14990353804278425,0.21355488627047972
169,5.0,8750,-4.5,0.11552816862137902,0.2444052975783308
170,3.5,9000,-4.5,0.13875724848206633,0.21722017736499333
171,4.0,9000,-4.5,0.14144394379325478,0.20905090948541807
172,4.5,9000,-4.5,0.1453551686361943,0.2018530917738866
173,5.0,9000,-4.5,0.13810022344530887,0.21205392324187525
174,3.5,9250,-4.5,0.13875724848206633,0.21722017736499333
175,4.0,9250,-4.5,0.14144394379325478,0.20905090948541807
176,4.5,9250,-4.5,0.1453551686361943,0.2018530917738866
177,5.0,9250,-4.5,0.13810022344530887,0.21205392324187525
178,3.5,9500,-4.5,0.13875724848206633,0.21722017736499333
179,4.0,9500,-4.5,0.14144394379325478,0.20905090948541807
180,4.5,9500,-4.5,0.1453551686361943,0.2018530917738866
181,5.0,9500,-4.5,0.13810022344530887,0.21205392324187525
182,3.5,9750,-4.5,0.13875724848206633,0.21722017736499333
183,4.0,9750,-4.5,0.14144394379325478,0.20905090948541807
184,4.5,9750,-4.5,0.1453551686361943,0.2018530917738866
185,5.0,9750,-4.5,0.13810022344530887,0.21205392324187525
186,3.5,10000,-4.5,0.13875724848206633,0.21722017736499333
187,4.0,10000,-4.5,0.14144394379325478,0.20905090948541807
188,4.5,10000,-4.5,0.1453551686361943,0.2018530917738866
189,5.0,10000,-4.5,0.13810022344530887,0.21205392324187525
190,3.5,3750,-4.0,0.055426785108199095,0.3394410915738737
191,3.5,4000,-4.0,0.03925618180822318,0.2928774120450232
192,4.0,4000,-4.0,0.03510447657698601,0.30210815208587005
193,4.5,4000,-4.0,0.03799743180829185,0.3186502787749016
194,3.5,4250,-4.0,0.06142463164342771,0.2765491798379677
195,4.0,4250,-4.0,0.04105773940624213,0.2703344861339605
196,3.5,4500,-4.0,0.12623351412241224,0.2813695393894067
197,4.0,4500,-4.0,0.08373649643587094,0.2747298720121598
198,4.5,4500,-4.0,0.05943436445531025,0.2618689959727718
199,5.0,4500,-4.0,0.044007150779499134,0.25686111704382425
200,3.5,4750,-4.0,0.1712782943831759,0.28477425482543933
201,4.0,4750,-4.0,0.1208295164170393,0.28507652569167213
202,4.5,4750,-4.0,0.08591799640282416,0.27510116272111135
203,5.0,4750,-4.0,0.06164375732736094,0.2635946050971023
204,3.5,5000,-4.0,0.14224581807736394,0.2957659272627481
205,4.0,5000,-4.0,0.13433401201941,0.2856806484766504
206,4.5,5000,-4.0,0.12041266311153959,0.2748488285099018
207,5.0,5000,-4.0,0.10045289146344098,0.2630407792556924
208,3.5,5250,-4.0,0.149608311487449,0.29436860079789895
209,4.0,5250,-4.0,0.13953718733535872,0.2924471074120944
210,4.5,5250,-4.0,0.1293531085671372,0.28432637151223755
211,5.0,5250,-4.0,0.12057629006314217,0.2796510938335977
212,3.5,5500,-4.0,0.15964718817977436,0.28654505117751305
213,4.0,5500,-4.0,0.1502115926208542,0.2897471400643872
214,4.5,5500,-4.0,0.13848310357763519,0.2905805235065152
215,5.0,5500,-4.0,0.12618527256552192,0.28663047466269176
216,3.5,5750,-4.0,0.16489056468005092,0.280572243622742
217,4.0,5750,-4.0,0.15604915710840955,0.2854743785174723
218,4.5,5750,-4.0,0.14572217262183412,0.2877925404273373
219,5.0,5750,-4.0,0.13316495070979165,0.2880815325851786
220,3.5,6000,-4.0,0.167154658449279,0.2737458415828943
221,4.0,6000,-4.0,0.16089500080460462,0.27860831001856323
222,4.5,6000,-4.0,0.15353829336250918,0.28165943690058687
223,5.0,6000,-4.0,0.14235287889276416,0.2849783538802233
224,3.5,6250,-4.0,0.1663702582967127,0.2706766233261966
225,4.0,6250,-4.0,0.16212019903042044,0.27442204200881853
226,4.5,6250,-4.0,0.15661627414442403,0.27720857869363047
227,5.0,6250,-4.0,0.1475868206917204,0.2801736447440927
228,3.5,6500,-4.0,0.16181163648352984,0.26836568062539135
229,4.0,6500,-4.0,0.15891414278586558,0.27134377765329226
230,4.5,6500,-4.0,0.15653107597301522,0.27269974631344346
231,5.0,6500,-4.0,0.1511279387632195,0.27479701848466465
232,3.5,6750,-4.0,0.15514573973612172,0.26929865149386595
233,4.0,6750,-4.0,0.15515354013849048,0.2702700874320675
234,4.5,6750,-4.0,0.15430712245283348,0.2707421915015064
235,5.0,6750,-4.0,0.15131649214720108,0.27156573049091115
236,3.5,7000,-4.0,0.14240807300192382,0.27231272645072074
237,4.0,7000,-4.0,0.14532240740093294,0.2709501145354527
238,4.5,7000,-4.0,0.14731602190679413,0.2698079154801066
239,5.0,7000,-4.0,0.1474725016268447,0.2690173851937769
240,3.5,7250,-4.0,0.1346439516171332,0.27407101014433705
241,4.0,7250,-4.0,0.13690679612795606,0.2724706015205495
242,4.5,7250,-4.0,0.14059745558055908,0.2702609548624749
243,5.0,7250,-4.0,0.1428354582823842,0.2684812265796153
244,3.5,7500,-4.0,0.13593153924531787,0.2538361914843345
245,4.0,7500,-4.0,0.12529052006813413,0.27308289894544235
246,4.5,7500,-4.0,0.1285213421918401,0.2714967569447213
247,5.0,7500,-4.0,0.13284920232795977,0.2690357537274544
248,3.5,7750,-4.0,0.15831944981679466,0.2354680566618872
249,4.0,7750,-4.0,0.11364016135412272,0.2704097442254136
250,4.5,7750,-4.0,0.12052489480943812,0.2717791182576876
251,5.0,7750,-4.0,0.1250423442666865,0.2695486571029758
252,3.5,8000,-4.0,0.17376504343033114,0.22604599143777587
253,4.0,8000,-4.0,0.13459684059579158,0.2466405886793705
254,4.5,8000,-4.0,0.10612917829055803,0.2690308785123185
255,5.0,8000,-4.0,0.11311373592554477,0.26929026684347324
256,3.5,8250,-4.0,0.17451552180282584,0.21636360592960005
257,4.0,8250,-4.0,0.15151840695958782,0.2329693711094683
258,4.5,8250,-4.0,0.10757752765485942,0.25961300073836807
259,5.0,8250,-4.0,0.10652218392930704,0.26717806668617944
260,3.5,8500,-4.0,0.15794395847907927,0.2181896799860318
261,4.0,8500,-4.0,0.16231832568366658,0.2110105044914973
262,4.5,8500,-4.0,0.13585119917395685,0.23443428330937377
263,5.0,8500,-4.0,0.09624315482322204,0.25889181151801455
264,3.5,8750,-4.0,0.14892855070747452,0.2186191261633097
265,4.0,8750,-4.0,0.15332759825519293,0.20946493586709616
266,4.5,8750,-4.0,0.14998753341376814,0.21330734867755158
267,5.0,8750,-4.0,0.11564325440330622,0.2441463716622023
268,3.5,9000,-4.0,0.13869774384914235,0.2170799348233826
269,4.0,9000,-4.0,0.14135353476090975,0.2089607313846476
270,4.5,9000,-4.0,0.14526173122251337,0.20179128597337467
271,5.0,9000,-4.0,0.13818463303817569,0.21181047572157718
272,3.5,9250,-4.0,0.13869774384914235,0.2170799348233826
273,4.0,9250,-4.0,0.14135353476090975,0.2089607313846476
274,4.5,9250,-4.0,0.14526173122251337,0.20179128597337467
275,5.0,9250,-4.0,0.13818463303817569,0.21181047572157718
276,3.5,9500,-4.0,0.13869774384914235,0.2170799348233826
277,4.0,9500,-4.0,0.14135353476090975,0.2089607313846476
278,4.5,9500,-4.0,0.14526173122251337,0.20179128597337467
279,5.0,9500,-4.0,0.13818463303817569,0.21181047572157718
280,3.5,9750,-4.0,0.13869774384914235,0.2170799348233826
281,4.0,9750,-4.0,0.14135353476090975,0.2089607313846476
282,4.5,9750,-4.0,0.14526173122251337,0.20179128597337467
283,5.0,9750,-4.0,0.13818463303817569,0.21181047572157718
284,3.5,10000,-4.0,0.13869774384914235,0.2170799348233826
285,4.0,10000,-4.0,0.14135353476090975,0.2089607313846476
286,4.5,10000,-4.0,0.14526173122251337,0.20179128597337467
287,5.0,10000,-4.0,0.13818463303817569,0.21181047572157718
288,3.5,3500,-3.5,0.07450214348849205,0.35027644343640885
289,3.5,3750,-3.5,0.0709415114660666,0.3223722989230733
290,4.0,3750,-3.5,0.07164090274514107,0.3301797693767762
291,3.5,4000,-3.5,0.05097303982646,0.3168868246454742
292,4.0,4000,-3.5,0.04908139814284369,0.3171287206247131
293,4.5,4000,-3.5,0.053410712483398334,0.32192288844334777
294,3.5,4250,-3.5,0.06795022822339518,0.29924006946002063
295,4.0,4250,-3.5,0.04765864469409617,0.29709740758155756
296,4.5,4250,-3.5,0.04051523295216611,0.2999829151431033
297,3.5,4500,-3.5,0.1318218919153876,0.28704446248783133
298,4.0,4500,-3.5,0.08791110023073372,0.2830264296808738
299,4.5,4500,-3.5,0.0610965508084955,0.27528075355416287
300,5.0,4500,-3.5,0.046452752411497156,0.268728582102016
301,3.5,4750,-3.5,0.1771394523932333,0.28347838361750277
302,4.0,4750,-3.5,0.12064369735415185,0.2671109066449353
303,4.5,4750,-3.5,0.09412115375660643,0.262591553392734
304,5.0,4750,-3.5,0.06339249460939082,0.2705912631882674
305,3.5,5000,-3.5,0.24327877248275448,0.24465042484823987
306,4.0,5000,-3.5,0.1806098475353126,0.2838701623399866
307,4.5,5000,-3.5,0.13193837462708685,0.2935931827124786
308,5.0,5000,-3.5,0.09914366084946175,0.286153091324171
309,3.5,5250,-3.5,0.27697293047519383,0.20763531040693994
310,4.0,5250,-3.5,0.2192927346955131,0.2583707984612789
311,4.5,5250,-3.5,0.16277268823628574,0.2904460025142979
312,5.0,5250,-3.5,0.12147249862028386,0.2965832037354302
313,3.5,5500,-3.5,0.16078805760001655,0.2849149426776761
